Q01_Best part	Q02_Worst part	Q03_Time
I liked very much the lecture about the apple app.&nbsp;It provided a good overview about the whole ML process in easy to understand format.	I was hoping for more flexible deadlines for the quizzes (like last year) for completing the course. Fortunately, completing the quizzes was easy for the first round.	3 : 6-10 Hours
Getting familiar with the theoretical concepts and approach of machine learning. Basics of machine learning are interesting.&nbsp;	Non.&nbsp;	4 : 10-20 hours
Starting section of the coursebook is really clear and easy to understand.	'Oops. Forgot to fill in the feedback.Coursebook was so good that lectures didn''t add much value.'	3 : 6-10 Hours
The second exercise I felt was very well written and helped me expand my knowledge on the topics.	Some of the quiz questions straight from the book I was unaware where exactly to start and stop reading for the quiz.&nbsp;	2 : 1-5 hours
Hot to specify a machine learning problem. It describes machine learning in summary and for what we need it.	-0	3 : 6-10 Hours
Applying the calculation to the exercises to create plot. I think creating plot helps understand principles faster and refresh the memory.	'The first part showing calculation using matrices was not really helping prepare yourself for the first couple of question of the quizz. It''s too bad since you anyway put the time to do the exercise.'	3 : 6-10 Hours
The coding exercises on JupyterHub were very good and practical. It was a nice way to learn some basic Data Science with python.	There was none in my opinion	3 : 6-10 Hours
Task 3 - Eigenvectors:&nbsp;It was fun recap of the topic.	There was none.	3 : 6-10 Hours
The data visualization part in the Python notebooks. It was nice to see what the data actually looks like and be able to visualize it.	Eigenvectors.I personally did not fully understand their concept and mathematical explanation.	2 : 1-5 hours
features, labels and hypothesis space. The topic was very interesting and intriguing.	Eigen value and vector. For me it is a bit confusing. Do takes a lot of time to understand.	4 : 10-20 hours
Features and labels	Difficulty with codes	3 : 6-10 Hours
The exercise where one had to do the eigenvalue decomposition on covariance matrix was kinda nice, even thought not really explained at all.	'1. In the course book basic concept were explained somewhat way too theoretically (especially the hypothesis space).&nbsp;2. The was the eigenvalue decomposition problem in programming exercises but really wasn''t explained at all.'	3 : 6-10 Hours
Python	Python, because it did not have enough hints.	2 : 1-5 hours
Feature:It is well defined in the book and in the lecture.There are many examples given which explains.	Hypothesis space:There were not so many examples given for this part which I believe there sgould 	4 : 10-20 hours
Task 3. Got to use numpy more extensively	No complaints really.	3 : 6-10 Hours
Task 3 in the exercises visualized nicely the eigenvectors of the covariance matrix with respect to the data.	'I cannot think of anything bad. Well, maybe the assistant introduction could have been on the stage with microphones. I didn''t hear anything what they said.'	3 : 6-10 Hours
Feature vectors. Because of the importance of these terminologies and the confusing explanation that is found on the internet.&nbsp;	Loss function part was a bit confusing and did not clear my concepts and would like to learn more about it.&nbsp;	5 : more than 20 hours
Emphasis and time spent on loss function and hypothesis space was good because they seem a bit trickier to understand as compared to other terminology.	Plotting of eigenvectors was a bit tricky since i mixed up the x1,x2 and y1,y2 values (interchanged, mistakenly)	3 : 6-10 Hours
